StudentID,Math,Physics,Chemistry,English,Attendance
1001,34,23,55.0,51.0,69
1002,89,31,95.0,74.0,57
1003,84,97,23.0,91.0,67
1004,73,48,77.0,,72
1005,40,74,63.0,55.0,64
1006,33,31,68.0,32.0,77
1007,25,78,88.0,35.0,79
1008,100,99,66.0,93.0,67
1009,49,57,30.0,49.0,61
1010,66,40,67.0,65.0,68
1011,29,97,41.0,88.0,70
1012,91,48,61.0,27.0,69
1013,71,54,28.0,47.0,91
1014,83,70,78.0,38.0,71
1015,88,53,94.0,74.0,92
1010,66,40,67.0,65.0,68
1016,37,85,83.0,31.0,58
1017,40,74,96.0,28.0,79
1018,87,52,90.0,21.0,98
1019,88,54,63.0,34.0,73
1020,53,84,42.0,84.0,61
1021,84,97,45.0,39.0,78
1022,87,20,,61.0,86
1023,59,50,27.0,50.0,91
1024,82,28,88.0,36.0,63
1025,41,53,87.0,97.0,82
1026,45,59,71.0,67.0,83
1027,51,48,28.0,63.0,56
1028,48,20,29.0,100.0,58
1029,62,29,85.0,50.0,72
1030,36,93,93.0,80.0,70
1031,44,32,32.0,75.0,77
1032,26,32,27.0,71.0,76
1033,44,44,88.0,77.0,63
1034,51,29,76.0,90.0,61
1035,21,31,50.0,41.0,81
1036,71,27,41.0,68.0,55
1037,78,56,74.0,91.0,97
1038,57,47,27.0,94.0,89
1039,26,94,81.0,84.0,88
1040,30,43,28.0,96.0,59
1041,35,92,51.0,94.0,93
1042,94,92,86.0,60.0,71
1043,50,53,70.0,36.0,97
1044,29,21,78.0,99.0,91
1045,47,84,53.0,36.0,77
1046,67,56,40.0,76.0,89
1047,87,21,90.0,58.0,97
1048,53,34,33.0,90.0,64
1049,63,46,53.0,84.0,86
1050,26,31,,55.0,57
1051,53,40,76.0,,100
1052,29,39,89.0,24.0,78
1053,36,25,59.0,66.0,57
1054,51,33,65.0,91.0,81
1055,50,40,42.0,72.0,56
1056,72,51,54.0,40.0,99
1057,80,48,45.0,78.0,77
1058,49,48,23.0,44.0,80
1059,55,64,85.0,71.0,98
1060,23,34,53.0,42.0,92
1061,33,96,75.0,64.0,75
1062,34,69,93.0,44.0,71
1063,86,88,45.0,66.0,82
1064,62,99,60.0,35.0,74
1065,61,71,57.0,90.0,63
1066,68,42,98.0,92.0,74
1067,58,56,46.0,75.0,92
1068,76,76,47.0,85.0,85
1069,41,30,56.0,85.0,97
1070,50,59,48.0,45.0,64
1071,80,98,29.0,78.0,81
1072,69,83,71.0,,64
1004,73,48,77.0,,72
1005,40,74,63.0,55.0,64
1073,33,74,48.0,42.0,99
1074,51,35,78.0,37.0,84
1075,96,60,76.0,98.0,87
1076,77,40,80.0,77.0,71
1077,55,86,82.0,100.0,70
1078,56,50,54.0,62.0,75
1079,39,49,69.0,39.0,100
1080,62,89,79.0,73.0,58
1081,94,22,,68.0,85
1082,69,73,88.0,89.0,93
1083,54,75,82.0,23.0,79
1084,71,41,79.0,36.0,94
1085,95,92,23.0,30.0,96
1086,43,26,53.0,68.0,75
1087,68,55,73.0,52.0,60
1088,26,64,48.0,28.0,96
1089,51,45,22.0,99.0,64
1090,34,92,47.0,79.0,99
1091,97,97,34.0,40.0,74
1092,59,93,68.0,70.0,100
1093,100,51,33.0,58.0,98
1094,92,25,64.0,88.0,82
1095,63,21,73.0,82.0,61
1096,78,39,75.0,42.0,88
1097,88,81,79.0,75.0,92
1098,31,55,77.0,51.0,84
1099,63,23,83.0,61.0,66
1100,53,63,55.0,96.0,99
1101,86,44,30.0,50.0,81
1102,80,82,77.0,22.0,60
1103,51,59,94.0,67.0,85
1104,90,62,65.0,78.0,72
1105,44,60,35.0,88.0,99
1106,81,55,95.0,87.0,93
1107,44,57,49.0,66.0,66
1108,36,55,25.0,26.0,90
1109,82,33,21.0,93.0,73
1110,43,26,52.0,81.0,62
1111,29,93,100.0,26.0,64
1112,58,30,51.0,35.0,90
1113,99,48,86.0,68.0,83
1114,95,74,59.0,92.0,94
1115,32,46,100.0,47.0,71
1116,42,90,29.0,40.0,55
1117,80,57,24.0,49.0,73
1118,78,29,49.0,53.0,95
1119,45,74,34.0,89.0,69
1120,38,29,27.0,41.0,74
1121,56,76,35.0,79.0,99
1122,54,84,89.0,83.0,83
1123,75,61,97.0,52.0,56
1124,93,95,22.0,54.0,91
1125,80,86,76.0,55.0,66
1126,82,31,80.0,64.0,81
1127,40,62,72.0,83.0,73
1128,90,24,78.0,31.0,75
1129,71,85,20.0,89.0,84
1130,66,99,83.0,100.0,83
1131,90,36,56.0,76.0,99
1132,100,97,50.0,40.0,74
1133,31,48,34.0,79.0,62
1134,57,85,54.0,73.0,85
1135,90,38,69.0,44.0,93
1136,28,55,73.0,,87
1137,58,95,94.0,82.0,64
1138,62,90,89.0,68.0,84
1139,50,93,69.0,49.0,81
1140,68,69,39.0,83.0,57
1141,62,32,76.0,,88
1142,38,72,39.0,29.0,85
1143,99,70,30.0,62.0,98
1144,60,100,82.0,89.0,57
1145,56,49,31.0,75.0,61
1146,32,76,41.0,58.0,56
1147,57,65,67.0,75.0,64
1148,43,41,42.0,30.0,94
1149,50,83,94.0,38.0,69
1150,52,21,79.0,56.0,98
1151,64,95,58.0,74.0,99
1152,45,69,81.0,33.0,70
1153,57,57,,70.0,72
1154,26,97,83.0,56.0,69
1155,44,99,52.0,37.0,95
1156,25,59,76.0,24.0,92
1157,57,61,73.0,42.0,67
1158,66,87,84.0,54.0,65
1159,81,57,63.0,34.0,84
1160,48,70,91.0,,60
1161,88,35,78.0,67.0,98
1162,68,67,33.0,49.0,85
1163,91,61,98.0,48.0,96
1164,58,72,34.0,37.0,57
1165,83,34,32.0,50.0,89
1166,89,73,95.0,39.0,81
1167,98,72,55.0,24.0,99
1168,50,66,32.0,67.0,89
1169,27,70,55.0,44.0,62
1170,31,47,96.0,22.0,58
1171,36,92,46.0,28.0,90
1172,49,62,38.0,96.0,55
1173,36,89,52.0,42.0,62
1174,21,65,,95.0,75
1175,36,73,87.0,34.0,59
1176,85,95,33.0,77.0,87
1177,86,58,78.0,23.0,58
1178,74,33,82.0,76.0,59
1179,38,28,36.0,55.0,94
1180,61,68,96.0,87.0,73
1181,32,34,90.0,47.0,82
1182,63,78,71.0,73.0,61
1183,52,67,39.0,80.0,59
1184,75,32,67.0,36.0,90
1185,91,62,35.0,72.0,77
1186,74,26,56.0,96.0,74
1187,47,39,81.0,48.0,61
1188,34,55,93.0,48.0,82
1189,99,98,91.0,23.0,93
1190,54,23,43.0,54.0,99
1191,64,20,43.0,38.0,91
1192,23,31,87.0,47.0,79
1193,67,59,61.0,92.0,93
1194,40,99,26.0,30.0,72
1195,97,76,73.0,54.0,68
1196,75,34,56.0,95.0,86
1197,48,70,96.0,27.0,55
1198,37,52,,61.0,62
1199,42,36,68.0,88.0,100
1200,65,29,,25.0,82
1201,60,93,74.0,93.0,80
1202,34,71,22.0,61.0,65
1203,66,31,75.0,33.0,70
1204,30,70,59.0,63.0,69
1205,85,34,87.0,85.0,67
1206,38,50,33.0,38.0,71
1207,29,42,100.0,83.0,84
1208,77,92,99.0,61.0,95
